T,D,V
0.0,0.0,0.0
0.2,0.04,0.0
0.4,0.04,0.0
0.6,0.04,0.0
0.8,0.04,0.0
1.0,0.04,0.0
1.2,0.04,0.0
1.4,0.04,0.0
1.6,0.04,0.0
1.8,0.04,0.0
2.0,0.04,0.0
2.2,0.04,0.0
2.4,0.15,2.17
2.6,0.34,3.96
2.8,0.63,5.64
3.0,0.97,6.87
3.2,1.38,7.27
3.4,1.79,7.52
3.6,2.2,7.61
3.8,2.61,7.61
4.0,3.06,7.53
4.2,3.43,7.21
4.4,3.84,6.87
4.6,4.22,6.79
4.8,4.59,6.44
5.0,4.92,6.24
5.2,5.26,6.21
5.4,5.6,6.06
5.6,5.93,6.05
5.8,6.27,5.88
6.0,6.6,5.72
6.2,6.9,5.45
6.4,7.2,5.12
6.6,7.46,4.75
6.8,7.72,4.74
7.0,7.98,4.77
7.2,8.24,4.82
7.4,8.51,4.82
7.6,8.77,4.85
7.8,9.03,4.73
8.0,9.29,4.78
8.2,9.59,4.84
8.4,9.85,4.76
8.6,10.11,4.65
8.8,10.37,4.81
9.0,10.63,4.84
9.2,10.89,4.85
9.4,11.19,4.87
9.6,11.45,4.95
9.8,11.71,5.06
10.0,12.01,5.14
10.2,12.27,4.97
10.4,12.57,5.04
10.6,12.83,5.12
10.8,13.13,5.09
11.0,13.39,5.07
11.2,13.69,5.16
11.4,13.95,4.88
11.6,14.25,4.96
11.8,14.51,5.02
12.0,14.81,5.23
12.206,15.11,5.2
12.407,15.37,5.24
12.607,15.67,5.23
12.808,15.97,5.31
13.008,16.27,5.28
13.223,16.56,5.36
13.424,16.86,5.24
13.624,17.16,5.28
13.825,17.46,5.36
14.025,17.76,5.37
14.24,18.09,5.41
14.441,18.39,5.42
14.641,18.69,5.49
14.841,18.99,5.39
15.041,19.29,5.33
15.256,19.62,5.45
15.457,19.92,5.4
15.657,20.22,5.52
15.858,20.52,5.4
16.058,20.85,5.43
16.272,21.19,5.47
16.473,21.49,5.52
16.673,21.79,5.29
16.873,22.09,5.32
17.073,22.38,5.25
17.273,22.68,5.32
17.473,22.94,5.25
17.673,23.24,5.31
17.873,23.54,5.46
18.074,23.84,5.34
18.274,24.14,5.38
18.474,24.44,5.33
18.674,24.73,5.47
18.874,25.03,5.36
19.074,25.33,5.34
19.275,25.63,5.32
19.475,25.97,5.47
19.676,26.26,5.56
19.876,26.56,5.49
20.076,26.86,5.57
20.276,27.2,5.53
20.476,27.49,5.4
20.676,27.79,5.1
20.877,28.05,5.08
21.077,28.35,4.94
21.277,28.61,4.74
21.477,28.84,4.32
21.677,29.1,4.26
21.878,29.32,4.2
22.078,29.55,4.02
22.278,29.77,3.97
22.478,29.99,3.84
22.678,30.18,3.57
22.878,30.4,3.58
23.078,30.59,3.46
23.278,30.78,3.49
23.478,30.96,3.38
23.678,31.15,3.33
23.878,31.34,3.28
24.078,31.52,3.27
24.278,31.71,3.21
24.478,31.9,3.21
24.678,32.05,3.16
24.878,32.23,3.15
25.078,32.42,3.1
25.278,32.57,3.0
25.478,32.75,3.03
25.678,32.9,3.01
25.878,33.09,3.1
26.078,33.24,3.03
26.278,33.43,2.92
26.478,33.58,2.84
26.678,33.72,2.78
26.878,33.87,2.72
27.078,34.06,2.76
27.278,34.21,2.68
27.478,34.36,2.66
27.678,34.51,2.62
27.878,34.66,2.61
28.078,34.77,2.54
28.278,34.92,2.49
28.478,35.07,2.45
28.679,35.18,2.42
28.879,35.33,2.3
29.079,35.44,2.33
29.279,35.59,2.23
29.486,35.7,2.14
